Metros,Original Rank,Weighted Rank,Delta Rank
"('Virginia Beach-Norfolk-Newport News, VA-NC Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",243,438,195
"('Ames, IA Metro Area', 'Des Moines-West Des Moines, IA Metro Area')",244,277,33
"('Colorado Springs, CO Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",245,227,-18
"('Worcester, MA-CT Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",246,308,62
"('Ocala, FL Metro Area', 'Orlando-Kissimmee-Sanford, FL Metro Area')",247,232,-15
"('Evansville, IN-KY Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",248,225,-23
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Ames, IA Metro Area')",249,741,492
"('Morgantown, WV Metro Area', 'Pittsburgh, PA Metro Area')",250,228,-22
"('Raleigh, NC Metro Area', 'Greenville, NC Metro Area')",251,685,434
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Kingston, NY Metro Area')",252,480,228
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Elmira, NY Metro Area')",253,546,293
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Ithaca, NY Metro Area')",254,485,231
"('Goldsboro, NC Metro Area', 'Raleigh, NC Metro Area')",255,303,48
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Flagstaff, AZ Metro Area')",256,558,302
"('Longview, WA Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",257,240,-17
"('Lima, OH Metro Area', 'Columbus, OH Metro Area')",258,247,-11
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'East Stroudsburg, PA Metro Area')",259,549,290
"('Punta Gorda, FL Metro Area', 'North Port-Sarasota-Bradenton, FL Metro Area')",260,234,-26
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'St. Cloud, MN Metro Area')",261,529,268
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Prescott, AZ Metro Area')",262,561,299
"('Lansing-East Lansing, MI Metro Area', 'Detroit-Warren-Dearborn, MI Metro Area')",263,329,66
"('Dothan, AL Metro Area', 'Montgomery, AL Metro Area')",264,315,51
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Sierra Vista-Douglas, AZ Metro Area')",265,566,301
"('San Francisco-Oakland-Hayward, CA Metro Area', 'Santa Rosa, CA Metro Area')",266,522,256
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Yuma, AZ Metro Area')",267,574,307
"('Greenville-Anderson-Mauldin, SC Metro Area', 'Spartanburg, SC Metro Area')",268,535,267
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Bend-Redmond, OR Metro Area')",269,584,315
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Corvallis, OR Metro Area')",270,590,320
"('Rockford, IL Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",271,249,-22
"('Farmington, NM Metro Area', 'Albuquerque, NM Metro Area')",272,233,-39
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Eugene, OR Metro Area')",273,587,314
"('Winchester, VA-WV Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",274,316,42
"('Kokomo, IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",275,231,-44
"('Brunswick, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",276,327,51
"('Cape Girardeau, MO-IL Metro Area', 'St. Louis, MO-IL Metro Area')",277,321,44
"('Oklahoma City, OK Metro Area', 'Lawton, OK Metro Area')",278,588,310
"('Sierra Vista-Douglas, AZ Metro Area', 'Tucson, AZ Metro Area')",279,332,53
"('South Bend-Mishawaka, IN-MI Metro Area', 'Elkhart-Goshen, IN Metro Area')",280,551,271
"('Springfield, OH Metro Area', 'Dayton, OH Metro Area')",281,339,58
"('Terre Haute, IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",282,354,72
"('Albany, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",283,237,-46
"('Muncie, IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",284,266,-18
"('Urban Honolulu, HI Metro Area', 'Kahului-Wailuku-Lahaina, HI Metro Area')",285,477,192
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Vineland-Bridgeton, NJ Metro Area')",286,593,307
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Trenton, NJ Metro Area')",287,607,320
"('Chattanooga, TN-GA Metro Area', 'Cleveland, TN Metro Area')",288,571,283
"('Mankato-North Mankato, MN Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",289,236,-53
"('Orlando-Kissimmee-Sanford, FL Metro Area', 'Deltona-Daytona Beach-Ormond Beach, FL Metro Area')",290,594,304
"('Fort Wayne, IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",291,229,-62
"('Mansfield, OH Metro Area', 'Columbus, OH Metro Area')",292,254,-38
"('Orlando-Kissimmee-Sanford, FL Metro Area', 'The Villages, FL Metro Area')",293,605,312
"('Pittsburgh, PA Metro Area', 'Erie, PA Metro Area')",294,560,266
"('Oxnard-Thousand Oaks-Ventura, CA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",295,230,-65
"('Portland-South Portland, ME Metro Area', 'Bangor, ME Metro Area')",296,611,315
"('Palm Bay-Melbourne-Titusville, FL Metro Area', 'Orlando-Kissimmee-Sanford, FL Metro Area')",297,238,-59
"('New Orleans-Metairie, LA Metro Area', 'Houma-Thibodaux, LA Metro Area')",298,559,261
"('Pensacola-Ferry Pass-Brent, FL Metro Area', 'Crestview-Fort Walton Beach-Destin, FL Metro Area')",299,768,469
"('Portland-South Portland, ME Metro Area', 'Lewiston-Auburn, ME Metro Area')",300,610,310
"('York-Hanover, PA Metro Area', 'Gettysburg, PA Metro Area')",301,589,288
"('Atlantic City-Hammonton, NJ Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",302,344,42
"('San Angelo, TX Metro Area', 'Austin-Round Rock, TX Metro Area')",303,328,25
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Longview, WA Metro Area')",304,586,282
"('Bismarck, ND Metro Area', 'Fargo, ND-MN Metro Area')",305,313,8
"('Barnstable Town, MA Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",307,307,0
"('Glens Falls, NY Metro Area', 'Albany-Schenectady-Troy, NY Metro Area')",309,334,25
"('Athens-Clarke County, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",310,312,2
"('Medford, OR Metro Area', 'Grants Pass, OR Metro Area')",311,540,229
"('Albany-Schenectady-Troy, NY Metro Area', 'Glens Falls, NY Metro Area')",312,479,167
"('Albuquerque, NM Metro Area', 'Farmington, NM Metro Area')",313,795,482
"('Wichita Falls, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",314,341,27
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'Winchester, VA-WV Metro Area')",315,481,166
"('Duluth, MN-WI Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",316,336,20
"('Blacksburg-Christiansburg-Radford, VA Metro Area', 'Roanoke, VA Metro Area')",317,1190,873
"('Boulder, CO Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",318,314,-4
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'Cumberland, MD-WV Metro Area')",319,490,171
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'California-Lexington Park, MD Metro Area')",320,507,187
"('Harrisonburg, VA Metro Area', 'Staunton-Waynesboro, VA Metro Area')",321,1133,812
"('Grants Pass, OR Metro Area', 'Medford, OR Metro Area')",322,352,30
"('Burlington-South Burlington, VT Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",323,317,-6
"('Ithaca, NY Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",324,333,9
"('Victoria, TX Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",325,345,20
"('Hartford-West Hartford-East Hartford, CT Metro Area', 'Norwich-New London, CT Metro Area')",326,488,162
"('Manchester-Nashua, NH Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",327,322,-5
"('Kingston, NY Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",328,289,-39
"('Sheboygan, WI Metro Area', 'Milwaukee-Waukesha-West Allis, WI Metro Area')",329,305,-24
"('Salinas, CA Metro Area', 'San Jose-Sunnyvale-Santa Clara, CA Metro Area')",330,304,-26
"('Bloomington, IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",332,340,8
"('Reading, PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",333,302,-31
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'Williamsport, PA Metro Area')",335,545,210
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'Reading, PA Metro Area')",336,544,208
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'Ocean City, NJ Metro Area')",339,543,204
"('Vineland-Bridgeton, NJ Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",341,306,-35
"('New Haven-Milford, CT Metro Area', 'Bridgeport-Stamford-Norwalk, CT Metro Area')",342,295,-47
"('Albany, OR Metro Area', 'Salem, OR Metro Area')",343,309,-34
"('Milwaukee-Waukesha-West Allis, WI Metro Area', 'Sheboygan, WI Metro Area')",344,539,195
"('Akron, OH Metro Area', 'Canton-Massillon, OH Metro Area')",345,552,207
"('Dover, DE Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",346,325,-21
"('Milwaukee-Waukesha-West Allis, WI Metro Area', 'Fond du Lac, WI Metro Area')",347,489,142
"('Ann Arbor, MI Metro Area', 'Detroit-Warren-Dearborn, MI Metro Area')",348,311,-37
"('Pine Bluff, AR Metro Area', 'Little Rock-North Little Rock-Conway, AR Metro Area')",349,349,0
"('Jonesboro, AR Metro Area', 'Little Rock-North Little Rock-Conway, AR Metro Area')",350,330,-20
"('Lafayette-West Lafayette, IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",351,324,-27
"('Johnstown, PA Metro Area', 'Pittsburgh, PA Metro Area')",352,337,-15
"('Fort Collins, CO Metro Area', 'Cheyenne, WY Metro Area')",353,1132,779
"('San Diego-Carlsbad, CA Metro Area', 'El Centro, CA Metro Area')",354,567,213
"('Valdosta, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",355,296,-59
"('Sebring, FL Metro Area', 'Lakeland-Winter Haven, FL Metro Area')",356,297,-59
"('Binghamton, NY Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",357,342,-15
"('Bellingham, WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",358,242,-116
"('Erie, PA Metro Area', 'Pittsburgh, PA Metro Area')",359,298,-61
"('Flint, MI Metro Area', 'Detroit-Warren-Dearborn, MI Metro Area')",360,292,-68
"('Saginaw, MI Metro Area', 'Bay City, MI Metro Area')",361,575,214
"('St. Louis, MO-IL Metro Area', 'Cape Girardeau, MO-IL Metro Area')",362,576,214
"('Carson City, NV Metro Area', 'Reno, NV Metro Area')",363,239,-124
"('Sumter, SC Metro Area', 'Columbia, SC Metro Area')",364,244,-120
"('Grand Island, NE Metro Area', 'Lincoln, NE Metro Area')",366,346,-20
"('Reno, NV Metro Area', 'Carson City, NV Metro Area')",367,578,211
"('Redding, CA Metro Area', 'Sacramento--Roseville--Arden-Arcade, CA Metro Area')",368,251,-117
"('Houma-Thibodaux, LA Metro Area', 'New Orleans-Metairie, LA Metro Area')",369,299,-70
"('Raleigh, NC Metro Area', 'Goldsboro, NC Metro Area')",370,577,207
"('Providence-Warwick, RI-MA Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",371,248,-123
"('Prescott, AZ Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",372,246,-126
"('Hinesville, GA Metro Area', 'Savannah, GA Metro Area')",373,300,-73
"('Deltona-Daytona Beach-Ormond Beach, FL Metro Area', 'Orlando-Kissimmee-Sanford, FL Metro Area')",374,291,-83
"('Spartanburg, SC Metro Area', 'Greenville-Anderson-Mauldin, SC Metro Area')",375,245,-130
"('Lewiston-Auburn, ME Metro Area', 'Portland-South Portland, ME Metro Area')",376,290,-86
"('San Jose-Sunnyvale-Santa Clara, CA Metro Area', 'Santa Cruz-Watsonville, CA Metro Area')",377,553,176
"('California-Lexington Park, MD Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",378,318,-60
"('Trenton, NJ Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",379,343,-36
"('Logan, UT-ID Metro Area', 'Ogden-Clearfield, UT Metro Area')",380,287,-93
"('Michigan City-La Porte, IN Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",381,288,-93
"('Canton-Massillon, OH Metro Area', 'Akron, OH Metro Area')",382,319,-63
"('Tampa-St. Petersburg-Clearwater, FL Metro Area', 'Homosassa Springs, FL Metro Area')",383,498,115
"('Pittsfield, MA Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",384,252,-132
"('State College, PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",385,356,-29
"('Eugene, OR Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",386,355,-31
"('Sherman-Denison, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",387,335,-52
"('Decatur, IL Metro Area', 'Champaign-Urbana, IL Metro Area')",388,310,-78
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Wenatchee, WA Metro Area')",389,555,166
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Walla Walla, WA Metro Area')",390,536,146
"('Carbondale-Marion, IL Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",391,320,-71
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Olympia-Tumwater, WA Metro Area')",392,601,209
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Mount Vernon-Anacortes, WA Metro Area')",393,599,206
"('Bremerton-Silverdale, WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",394,293,-101
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Bremerton-Silverdale, WA Metro Area')",395,598,203
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Bellingham, WA Metro Area')",396,612,216
"('Bend-Redmond, OR Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",397,294,-103
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Rochester, MN Metro Area')",398,530,132
"('St. Joseph, MO-KS Metro Area', 'Kansas City, MO-KS Metro Area')",399,357,-42
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Mankato-North Mankato, MN Metro Area')",400,528,128
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Texarkana, TX-AR Metro Area')",401,483,82
"('Bangor, ME Metro Area', 'Portland-South Portland, ME Metro Area')",402,273,-129
"('Detroit-Warren-Dearborn, MI Metro Area', 'Jackson, MI Metro Area')",403,520,117
"('Detroit-Warren-Dearborn, MI Metro Area', 'Flint, MI Metro Area')",404,521,117
"('Detroit-Warren-Dearborn, MI Metro Area', 'Ann Arbor, MI Metro Area')",405,524,119
"('Denver-Aurora-Lakewood, CO Metro Area', 'Grand Junction, CO Metro Area')",406,491,85
"('Dayton, OH Metro Area', 'Springfield, OH Metro Area')",407,547,140
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Wichita Falls, TX Metro Area')",408,510,102
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Waco, TX Metro Area')",409,486,77
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Sherman-Denison, TX Metro Area')",410,500,90
"('Rochester, MN Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",411,274,-137
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'San Angelo, TX Metro Area')",412,603,191
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Amarillo, TX Metro Area')",413,595,182
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Abilene, TX Metro Area')",414,511,97
"('Columbia, SC Metro Area', 'Sumter, SC Metro Area')",415,556,141
"('Janesville-Beloit, WI Metro Area', 'Madison, WI Metro Area')",416,272,-144
"('Rome, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",417,271,-146
"('Colorado Springs, CO Metro Area', 'Pueblo, CO Metro Area')",418,1075,657
"('College Station-Bryan, TX Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",419,364,-55
"('Fairbanks, AK Metro Area', 'Anchorage, AK Metro Area')",420,358,-62
"('Oshkosh-Neenah, WI Metro Area', 'Appleton, WI Metro Area')",421,581,160
"('Yuma, AZ Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",422,283,-139
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'College Station-Bryan, TX Metro Area')",423,508,85
"('Kansas City, MO-KS Metro Area', 'Lawrence, KS Metro Area')",424,585,161
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Terre Haute, IN Metro Area')",425,568,143
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Muncie, IN Metro Area')",426,609,183
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Kokomo, IN Metro Area')",427,597,170
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Fort Wayne, IN Metro Area')",428,604,176
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Columbus, IN Metro Area')",429,492,63
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Bloomington, IN Metro Area')",430,493,63
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Victoria, TX Metro Area')",431,495,64
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Beaumont-Port Arthur, TX Metro Area')",432,474,42
"('Eau Claire, WI Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",433,275,-158
"('Topeka, KS Metro Area', 'Kansas City, MO-KS Metro Area')",434,281,-153
"('Williamsport, PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",435,280,-155
"('Grand Junction, CO Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",436,279,-157
"('Grand Rapids-Wyoming, MI Metro Area', 'Muskegon, MI Metro Area')",437,537,100
"('St. Cloud, MN Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",438,278,-160
"('Gainesville, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",439,362,-77
"('Danville, IL Metro Area', 'Champaign-Urbana, IL Metro Area')",440,276,-164
"('Flagstaff, AZ Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",441,361,-80
"('Battle Creek, MI Metro Area', 'Kalamazoo-Portage, MI Metro Area')",442,257,-185
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Wausau, WI Metro Area')",443,557,114
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Springfield, IL Metro Area')",444,572,128
"('Austin-Round Rock, TX Metro Area', 'Laredo, TX Metro Area')",445,501,56
"('Columbus, IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",446,262,-184
"('Hot Springs, AR Metro Area', 'Little Rock-North Little Rock-Conway, AR Metro Area')",447,256,-191
"('Jackson, TN Metro Area', 'Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area')",448,263,-185
"('Kahului-Wailuku-Lahaina, HI Metro Area', 'Urban Honolulu, HI Metro Area')",449,265,-184
"('Laredo, TX Metro Area', 'San Antonio-New Braunfels, TX Metro Area')",450,268,-182
"('Baltimore-Columbia-Towson, MD Metro Area', 'Salisbury, MD-DE Metro Area')",451,505,54
"('Wenatchee, WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",452,269,-183
"('Cumberland, MD-WV Metro Area', 'Baltimore-Columbia-Towson, MD Metro Area')",453,270,-183
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Valdosta, GA Metro Area')",454,494,40
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Rockford, IL Metro Area')",455,570,115
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Rome, GA Metro Area')",456,573,117
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Gainesville, GA Metro Area')",457,580,123
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Brunswick, GA Metro Area')",458,596,138
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Athens-Clarke County, GA Metro Area')",459,562,103
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Albany, GA Metro Area')",460,503,43
"('Amarillo, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",461,360,-101
"('Abilene, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",462,359,-103
"('Albuquerque, NM Metro Area', 'Santa Fe, NM Metro Area')",463,600,137
"('Beaumont-Port Arthur, TX Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",464,363,-101
"('Birmingham-Hoover, AL Metro Area', 'Dothan, AL Metro Area')",465,821,356
"('Birmingham-Hoover, AL Metro Area', 'Tuscaloosa, AL Metro Area')",466,548,82
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'Barnstable Town, MA Metro Area')",467,512,45
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Michigan City-La Porte, IN Metro Area')",468,487,19
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Kankakee, IL Metro Area')",469,523,54
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Decatur, IL Metro Area')",470,579,109
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Davenport-Moline-Rock Island, IA-IL Metro Area')",471,565,94
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Carbondale-Marion, IL Metro Area')",472,475,3
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Bloomington, IL Metro Area')",473,482,9
"('Charlotte-Concord-Gastonia, NC-SC Metro Area', 'Hickory-Lenoir-Morganton, NC Metro Area')",474,516,42
"('Hickory-Lenoir-Morganton, NC Metro Area', 'Charlotte-Concord-Gastonia, NC-SC Metro Area')",475,258,-217
"('Kankakee, IL Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",476,259,-217
"('Muskegon, MI Metro Area', 'Grand Rapids-Wyoming, MI Metro Area')",477,260,-217
"('Charlotte-Concord-Gastonia, NC-SC Metro Area', 'Asheville, NC Metro Area')",478,531,53
"('Tuscaloosa, AL Metro Area', 'Birmingham-Hoover, AL Metro Area')",479,261,-218
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'Springfield, MA Metro Area')",480,518,38
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'Providence-Warwick, RI-MA Metro Area')",481,517,36
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'Pittsfield, MA Metro Area')",482,515,33
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'Manchester-Nashua, NH Metro Area')",483,513,30
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'Burlington-South Burlington, VT Metro Area')",484,532,48
"('Kansas City, MO-KS Metro Area', 'St. Joseph, MO-KS Metro Area')",485,563,78
"('Denver-Aurora-Lakewood, CO Metro Area', 'Boulder, CO Metro Area')",486,533,47
"('Ogden-Clearfield, UT Metro Area', 'Logan, UT-ID Metro Area')",487,506,19
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Duluth, MN-WI Metro Area')",488,476,-12
"('Santa Rosa, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",489,285,-204
"('Little Rock-North Little Rock-Conway, AR Metro Area', 'Pine Bluff, AR Metro Area')",490,550,60
"('Lubbock, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",491,365,-126
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Eau Claire, WI Metro Area')",492,534,42
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Oxnard-Thousand Oaks-Ventura, CA Metro Area')",493,554,61
"('Peoria, IL Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",494,255,-239
"('Santa Fe, NM Metro Area', 'Albuquerque, NM Metro Area')",495,286,-209
"('Olympia-Tumwater, WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",496,241,-255
"('Napa, CA Metro Area', 'Vallejo-Fairfield, CA Metro Area')",497,253,-244
"('Miami-Fort Lauderdale-West Palm Beach, FL Metro Area', 'Sebring, FL Metro Area')",498,582,84
"('Mount Vernon-Anacortes, WA Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",499,235,-264
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Grand Forks, ND-MN Metro Area')",500,526,26
"('Buffalo-Cheektowaga-Niagara Falls, NY Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",501,369,-132
"('Longview, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",502,382,-120
"('Chico, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",503,421,-82
"('Warner Robins, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",504,412,-92
"('Corvallis, OR Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",505,368,-137
"('Omaha-Council Bluffs, NE-IA Metro Area', 'Sioux City, IA-NE-SD Metro Area')",506,706,200
"('Decatur, AL Metro Area', 'Huntsville, AL Metro Area')",507,381,-126
"('Cheyenne, WY Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",508,667,159
"('Gadsden, AL Metro Area', 'Birmingham-Hoover, AL Metro Area')",509,414,-95
"('Huntsville, AL Metro Area', 'Decatur, AL Metro Area')",510,608,98
"('Brownsville-Harlingen, TX Metro Area', 'San Antonio-New Braunfels, TX Metro Area')",511,371,-140
"('San Jose-Sunnyvale-Santa Clara, CA Metro Area', 'Merced, CA Metro Area')",512,637,125
"('Harrisonburg, VA Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",513,418,-95
"('Florence-Muscle Shoals, AL Metro Area', 'Huntsville, AL Metro Area')",514,353,-161
"('Scranton--Wilkes-Barre--Hazleton, PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",515,250,-265
"('Hagerstown-Martinsburg, MD-WV Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",517,413,-104
"('Homosassa Springs, FL Metro Area', 'Tampa-St. Petersburg-Clearwater, FL Metro Area')",518,416,-102
"('Miami-Fort Lauderdale-West Palm Beach, FL Metro Area', 'Naples-Immokalee-Marco Island, FL Metro Area')",519,634,115
"('Kalamazoo-Portage, MI Metro Area', 'Battle Creek, MI Metro Area')",520,636,116
"('Boise City, ID Metro Area', 'Pocatello, ID Metro Area')",521,640,119
"('Pueblo, CO Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",522,264,-258
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Brownsville-Harlingen, TX Metro Area')",523,478,-45
